"","text","favoriteCount","created","statusSource","period"
"1","    How is offering advice trolling ",0,"2022-12-11","iPhone",1
"2","  Bro your goal was madclapclapclap",0,"2022-12-11","Android",1
"3","    No rage kissingheartkissingheartkissingheart",0,"2022-12-11","iPhone",1
"4","      While youre on with this could you also price ",0,"2022-12-11","iPhone",1
"5"," CaptAin Hugo ",0,"2022-12-11","iPhone",1
"6","  
Deschamps 
      rabiot ",0,"2022-12-11","iPhone",1
"7","    Why you dont just follow my advice to rewatch the game instea ",0,"2022-12-11","iPhone",1
"8","   They need an elite coach They dont have one",0,"2022-12-11","iPhone",1
"9","        sluuuurp",0,"2022-12-11","Android",1
"10","  I love you ",0,"2022-12-11","iPad",1
"11"," These guys want to lose against Moroccomonkey",0,"2022-12-11","Android",1
"12","  Congratulations though because I know u will lift the cup again ",0,"2022-12-11","iPhone",1
"13","     What about Stones CRB who was supposed to cover the near post here",0,"2022-12-11","Android",1
"14","    joyjoyjoyjoyhow I long for those days again",0,"2022-12-11","iPhone",1
"15","  Installe une fan zone cousine",0,"2022-12-11","iPhone",1
"16","Capt  ",0,"2022-12-11","iPhone",1
"17","    Terrible reporting",0,"2022-12-11","iPhone",1
"18","  Learn how to respect Messi okay",0,"2022-12-11","iPhone",1
"19","    Mbappe is the best in history The discussion is over Please talk about a second topic",0,"2022-12-11","iPhone",1
"20","  You are him",0,"2022-12-11","Android",1
"21","    rebrand tgnJ",1,"2022-12-11","Web App",1
"22","    Thats good",0,"2022-12-11","Web App",1
"23","    In honest i trust you rXaT",0,"2022-12-11","Web App",1
"24","    Employ me chief",0,"2022-12-11","Web App",1
"25","    So just to clarify you feel that in the whole match he made one contribution 1",0,"2022-12-11","iPhone",1
"26","    Thats what happens in football Its a game that sometimes you win ",0,"2022-12-11","iPhone",1
"27","Me everyday Number 7 with the cup and straw joy",0,"2022-12-11","iPhone",1
"28","    Its not in Indonesia",0,"2022-12-11","Android",1
"29","  Baba Argentina will beat you in the final",0,"2022-12-11","Android",1
"30","  Qualification",0,"2022-12-11","iPhone",1
"31","SUNDAY MOOD

 
 
 ",1,"2022-12-11","iPhone",1
"32","After what ive read about Argentina and its treatment of black folklittle  Africa  must dunk on ",0,"2022-12-11","Android",1
"33","Moodhearteyes",0,"2022-12-11","Android",1
"34","    Squad is good as any other but need a world class manager or som ",0,"2022-12-11","Android",1
"35","    A lose game",1,"2022-12-11","Android",1
"36"," Rosbeef is terrified Giroud on fire un truc dans le genre  joy",0,"2022-12-11","iPhone",1
"37","    Yes because its a game",0,"2022-12-11","iPhone",1
"38","  hearteyesFantastic hearteyes",0,"2022-12-11","Android",1
"39","    You can laught",1,"2022-12-11","Android",1
"40"," Were not talking to you ",0,"2022-12-11","iPhone",1
"41","  Dont let Argentina take it   Please praypraypraypray",0,"2022-12-11","iPhone",1
"42","    More commentary than world cup in your history",0,"2022-12-11","Android",1
"43"," Freed from desire xtm remix edit  Gala ft XTM",0,"2022-12-11","Web App",1
"44","  You are great Klian I love you a lot from Iraq  ",0,"2022-12-11","Android",1
"45","    Looooool liverpool want him all club in the prem want him
Your li ",0,"2022-12-11","Android",1
"46"," Hello  ",0,"2022-12-11","Android",1
"47","  This smile came out post kane penalty shoot The ball went viral sweatsmilemay I say
Its now alm ",0,"2022-12-11","Android",1
"48"," Its coming home joyjoy",0,"2022-12-11","iPhone",1
"49","   You got the players but the wrong manager Henry",0,"2022-12-11","iPhone",1
"50","  tiens  tas mis  3 ",0,"2022-12-11","Web App",1
"51","    Hi better than all your team",0,"2022-12-11","Android",1
"52","        The term",0,"2022-12-11","Android",1
"53","  Walker ta grail joycatjoycat",0,"2022-12-11","iPhone",1
"54","    The reff was a disgrace",0,"2022-12-11","iPhone",1
"55","   Hope to see you in final  vs ",0,"2022-12-11","Android",1
"56","    I help you because it seems you need Heres the link It star ",0,"2022-12-11","iPhone",1
"57","     Haha I was kidding my friends Mbapp has everything to ",1,"2022-12-11","iPhone",1
"58","   Messis left foot better than mbappes career",0,"2022-12-11","iPhone",1
"59","  Thanks a lot man for last night",0,"2022-12-11","Web App",1
"60","    Has football come home yetgrin",0,"2022-12-11","Web App",1
"61","    Literally free LnLE",0,"2022-12-11","Web App",1
"62","    Good cool I appreciate it",0,"2022-12-11","Web App",1
"63","    Love seeing these posts PLSi",0,"2022-12-11","Web App",1
"64","    rebrand Fhdv",0,"2022-12-11","Web App",1
"65","    Cool either way",0,"2022-12-11","Web App",1
"66","You can also add  the future goalkeeper of  and one of the most talented in Europe  ",0,"2022-12-11","Web App",1
"67","      How much does it cost to bribe one of your refe ",0,"2022-12-11","iPhone",1
"68","  Its ur time for revenge to cr7 ",0,"2022-12-11","iPhone",1
"69","      The beauty of the World Cup was ruined by the b ",1,"2022-12-11","Android",1
"70","    good start xZzr",0,"2022-12-11","Web App",1
"71","    Good to know boss RjeZ",0,"2022-12-11","Web App",1
"72","    You look good",0,"2022-12-11","Web App",1
"73","    Good to know boss cPny",0,"2022-12-11","Web App",1
"74","    Thats good hWRi",0,"2022-12-11","Web App",1
"75","    you mean",0,"2022-12-11","Web App",1
"76","  This guy na play he Dey play joy",0,"2022-12-11","iPhone",1
"77","  Victorymusclefist",0,"2022-12-11","Android",1
"78","    You should rewatch again and see the role he played in the first goal of french team",0,"2022-12-11","iPhone",1
"79","    I just hope they do it soon I reckon I should live to see another ",0,"2022-12-11","Android",1
"80","  I dont mean to be insulting or racist I mean its not fair that you bring most of your ",0,"2022-12-11","iPhone",1
"81","   Ronaldo better",0,"2022-12-11","Android",1
"82","  I dont mean to be insulting or racist I mean its not fair that you bring most of yo ",0,"2022-12-11","iPhone",1
"83","   Stop defending SOUTHGATE he is not a winner u know it but refuse 2 except thi ",0,"2022-12-11","Android",1
"84","  Lets gooooofire",2,"2022-12-11","iPhone",1
"85","    work so hard and the  balon d or is yours",0,"2022-12-11","Android",1
"86"," Im coming home",0,"2022-12-11","iPhone",1
"87","    Youve found a striker for rugby though with Kane ",0,"2022-12-11","Android",1
"88","Giroud complements the team better compared to Benzemaobviously a better player This team has too many outlets t ",0,"2022-12-11","iPhone",1
"89","Good morning  wave",0,"2022-12-11","Android",1
"90","  Damn you guys are the best okhand1hearteyes",0,"2022-12-11","Android",1
"91","France was welcomed back to their hotel with a party tada

via equipedefrance on IG ",146,"2022-12-11","Media Studio",1
"92","  Im from south Africa but Im with team France oh and also mbappe Im your biggest fan",0,"2022-12-11","Web App",1
"93","  Referee was MOM",0,"2022-12-11","iPhone",1
"94"," Master or puppets  ",0,"2022-12-11","Android",1
"95","     They dont in my mind",0,"2022-12-11","iPhone",1
"96"," FREE FROM DESIRE ",0,"2022-12-11","Android",1
"97","  Freed From Desire  Gala",0,"2022-12-11","iPhone",1
"98","  On arrive frero  ",0,"2022-12-11","Android",1
"99"," Very Excited",1,"2022-12-11","iPhone",1
"100","  Brilliant ",0,"2022-12-11","Android",1
"101","  Wow amazing fire",0,"2022-12-11","Android",1
"102","France eliminate England and advance to the semifinals soccer
 FiersdetreBleus  FIFAWC2022 ",3,"2022-12-11","TweetDeck",1
"103","  Congratulations to France on being the 2nd African team to reach a World Cup Semi Final clapclapclap",0,"2022-12-11","iPhone",1
"104","GO GO GO  muscle ",0,"2022-12-11","iPhone",1
"105","   Come to Real Madrid",0,"2022-12-11","Android",1
"106"," Free from dizzer",0,"2022-12-11","iPhone",1
"107","  My guy",0,"2022-12-11","Android",1
"108","  You are NEXT OUT wink",0,"2022-12-11","iPhone",1
"109","  Come to milan if you want to play with this guy ",0,"2022-12-11","Android",1
"110","  oliiivieeeerrrrre Girouddd oliiviereeeeee Girioud Olivieerrrr Giroud ",0,"2022-12-11","Android",1
"111"," Freed from desired",0,"2022-12-11","iPhone",1
"112","   Flop ",2,"2022-12-11","Android",1
"113","    much like Brexit reallymuch promised little delivered",0,"2022-12-11","Android",1
"114","  Prepare you for morocco",0,"2022-12-11","Android",1
"115"," On sen fout",0,"2022-12-11","Android",1
"116","Here come the Seum 

Mbappe Giroud equipedefrance ",6,"2022-12-11","iPhone",1
"117"," Good job",0,"2022-12-11","Android",1
"118","   You are generous Henry Some of these young chaps are appearing increasingly ",0,"2022-12-11","iPhone",1
"119","Antoine Griezmann dancing hearteyeshearteyeshearteyeshearteyeshearteyeshearteyeshearteyeshearteyesAfter the 21 win yesterday I am so happy to see him like this oh Grizi  ",2,"2022-12-11","Android",1
"120"," London calling",0,"2022-12-11","iPhone",1
"121","   Why whats he done",0,"2022-12-11","Android",1
"122","  Hakimi Mazraoui Ziyech3 out of 27 players at Champions League level but it leaves a l ",0,"2022-12-11","Android",1
"123"," I love this",0,"2022-12-11","Android",1
"124","  Make it to the finals and then completely bottle it pls pray
Ofc if its Croatia then pls win lmao",0,"2022-12-11","Web App",1
"125"," Good morning",0,"2022-12-11","iPhone",1
"126"," Goodmorning",0,"2022-12-11","iPhone",1
"127","   Bring it back home  ",1,"2022-12-11","Android",1
"128","  Courage ",0,"2022-12-11","iPhone",1
"129","I have the SEUM 
Repeat after me

ENGFRA FIFAWorldCup EquipedeFrance ",15,"2022-12-11","iPhone",1
"130","    Where are you I repeat",1,"2022-12-11","iPhone",1
"131"," Go France Go ",0,"2022-12-11","Android",1
"132"," Good Morning ",50,"2022-12-11","Android",1
"133"," Good day France am my name is yakub from Nigeria am begging you to sponsor my football
Pls I dont ",0,"2022-12-11","Android",1
"134","  Turn up to the game did you  overrated player ",0,"2022-12-11","Android",1
"135","  Its a team dufus",0,"2022-12-11","Web App",1
"136","  Where are you ",1,"2022-12-11","iPhone",1
"137"," I hope youve got your pen out ",0,"2022-12-11","Android",1
"138","      Is this a rugby or soccer world cup where the m ",0,"2022-12-11","Android",1
"139","       Cringe",0,"2022-12-11","Android",1
"140","   Fair point and congratulations to France But can you tell us how ",0,"2022-12-11","Android",1
"141","   Nonetheless a massive missed opportunityagain Thank you Southgate but nee ",0,"2022-12-11","iPhone",1
"142"," Congratulations",0,"2022-12-11","Android",1
"143","   rotatinglightANNOUNCEMENTrotatinglight
 DEAR FIFA PLS PLS CONDUCT ALL THE SEMI FINAL MATCH MATCH F ",1,"2022-12-11","Android",1
"144"," Freed from desirede Galablush",0,"2022-12-11","Android",1
"145","Attention a 3 t ",0,"2022-12-11","iPhone",1
"146"," Freed from desire de Gala",0,"2022-12-11","Android",1
"147","Done  

 ",1,"2022-12-11","Android",1
"148","   If only Gareth Southgate had the best performing English midfielder since the ",0,"2022-12-11","Web App",1
"149","      rotatinglightANNOUNCEMENTrotatinglight
 DEAR FIFA PLS PLS CONDUCT ALL ",1,"2022-12-11","Android",1
"150","   Thank you for information Israel has occupied Palestine unjustly and is a ",0,"2022-12-11","Web App",1
"151","mes vies ",0,"2022-12-11","iPhone",1
"152","   Get rid of Southgate More interested in virtue signalling than being manager ",0,"2022-12-11","Web App",1
"153","    Do you support these comments Morocco Fans dividing ",0,"2022-12-11","Android",1
"154","   Agree which is why we need to find a manager who can let the shackles off thi ",0,"2022-12-11","iPhone",1
"155","   Totally right",0,"2022-12-11","iPhone",1
"156","   Totally right",0,"2022-12-11","iPhone",1
"157","The goat juste en dessous Jesus  ",0,"2022-12-11","iPhone",1
"158","    Where is Harry Kane in your list",0,"2022-12-11","Android",1
"159","  Easy win my Friend pray May God have mercy on them because we will have none the humiliat ",0,"2022-12-11","Android",1
"160","   Where and when have we heard that comment before For the lat 57 years ",0,"2022-12-11","iPhone",1
"161","which teams  are win the semi  final  
comment here 
  
  ",3,"2022-12-11","Web App",1
"162","  Welcome to casemiro CDM academy ",0,"2022-12-11","iPhone",1
"163"," Gode save the Keane",0,"2022-12-11","Android",1
"164","so cute ",0,"2022-12-11","Android",1
"165","   They now need an elite coach",0,"2022-12-11","iPhone",1
