"","text","favoriteCount","created","statusSource","period"
"1","Go and write it down somewhere that Argentina will win this 2022 World Cup ",0,"2022-12-11","iPhone",1
"2","FIFA opens disciplinary case against Lionel MessisArgentina ",0,"2022-12-11","Jetpack.com",1
"3","  Netherlands v Argentina was the best",0,"2022-12-11","iPhone",1
"4"," No its Argentina  Netherlands",0,"2022-12-11","iPhone",1
"5"," ARGENTINA  soccer
FIFAWorldCupQatar2022 fifaworldcup2022 WorldcupQatar2022 contest contesttime ",0,"2022-12-11","Web App",1
"6","rotatinglightFIFA opens disciplinary case against Lionel Messis Argentina",0,"2022-12-11","MegaNewsUpdates",1
"7","      
  vs  trophy vs 
 
SemiFinal FIFA2022 WorldCup22 
Argentina  Croatia  ",0,"2022-12-11","Web App",1
"8"," Are we comparing Rinaldos continuous throw of tantrums to this particular situation First of all Va ",0,"2022-12-11","Android",1
"9","This was again demonstrated some way in the argentina vs netherlands game
The Neds struck first taunting Arg play ",0,"2022-12-11","iPhone",1
"10","   It was heartbreaking but we dont really care cos we all wanted Portugal out anyway ju ",0,"2022-12-11","Android",1
"11","In 1986 Argentina won the world cup and Morocco became the first African country to finish top of their group and l ",0,"2022-12-11","Android",1
"12"," Maybe black players arent Argentinas citizen Or they arent good soccer players Dixit",0,"2022-12-11","Android",1
"13","  I never said I trust the government I do not However I do not believe that Jesuits ru ",0,"2022-12-11","Web App",1
"14","Checkout the full video from the below link


",0,"2022-12-11","Android",1
"15"," Argentina Vs France in the final of Fifa World Cup at Qatar",0,"2022-12-11","Android",1
"16"," Morocco 0 0 Argentina FT but Morocco will win via Penalty shoot out",0,"2022-12-11","Android",1
"17","  Have u covered any Argentina game They are by far the loudest From their Barahat Al Ja ",0,"2022-12-11","Android",1
"18"," What I think may be Final will be between Argentina  amp Morocco ",0,"2022-12-11","iPhone",1
"19"," Argentina vs France",0,"2022-12-11","iPhone",1
"20"," Argentina win WC by 10 grinning",0,"2022-12-11","iPhone",1
"21","I just really hope than Dumbfries is enjoying his early exit from the World Cup after being such an asshole to the ",0,"2022-12-11","iPhone",1
"22","   thats the Argentinas way to do anything

try to watch Libertadores ",0,"2022-12-11","Android",1
"23","Cant believe imma be able to watch Argentina lose on Tuesday ",0,"2022-12-11","Android",1
"24","  I wanted Argentina to win but after that incident I have lost respect for those guys If ",0,"2022-12-11","Android",1
"25","    The foul is on the line that pic proves it Muppet  thank ",0,"2022-12-11","Android",1
"26","Argentina vs netherlands ",0,"2022-12-11","iPhone",1
"27","Argentinas Portugals biggest rival team since when Portugal is Brazil ",0,"2022-12-11","Android",1
"28","Argentina v Morocco in the finale please Ill be happy if one of these two wins",0,"2022-12-11","iPhone",1
"29"," Probably you are not familiar with the attitude of Argentina team They might be average on paper but ",1,"2022-12-11","Android",1
"30"," I feel it would be either Croatia or France Croats will not let Argentina win",0,"2022-12-11","iPhone",1
"31"," This Argentina football team is so arrogant",0,"2022-12-11","iPhone",1
"32","final ideal France V Argentina
final impian aing malah Croatia V Marocco

champion of Marocco

insyaAllah",0,"2022-12-11","Android",1
"33"," Argentina vs France",0,"2022-12-11","Android",1
"34","  In Argentina we ever supports African teams and African players in the top teams we miss ",0,"2022-12-11","Android",1
"35","Aw here we appreciate a bunch of Dutch player giving some loving to Molina  Respect is one thing that you earn ",0,"2022-12-11","Android",1
"36"," i love it so much im like ahskahdjakhrkfk thank youu ty ty thank youuu 
susie argentina ",1,"2022-12-11","Android",1
"37","  Need that Argentina knockout",0,"2022-12-11","Android",1
"38","Every arrogant statement every evil dance and every shit housery statement comes back into the universe we saw it ",0,"2022-12-11","Web App",1
"39"," Just like the revolutionarythe socialist and the comrade of Fidel Castro Diego Maradona inspired Ar ",0,"2022-12-11","Web App",1
"40"," they didnt even play argentina ",0,"2022-12-11","Android",1
"41","  Also I heard Argentina  is changing the flag and country name to avoid being associated with that one match",0,"2022-12-11","iPhone",1
"42","Did you agree
Or was it just an excuse

Pepe It is unacceptable that an Argentinian referee is in charge today ",0,"2022-12-11","Android",1
"43"," Totally agree about the Argentina hair cuts They all have the exact same do And its a horrible ",0,"2022-12-11","iPhone",1
"44","ArgentinaPhoneNumber However read your copy out loud If you still arent sure However Argentina Phone Number r ",0,"2022-12-11","Web App",1
"45","46th Death Anniversary of NawabAliYavarJungBahadur an Indian diplomat He served as Indian Ambassador in Argentina ",0,"2022-12-11","Android",1
"46","Ten extra minutes and a tie at the final shot then 30 minutes of suffering and then penalties but Argentina won ",0,"2022-12-11","Web App",1
"47","   Buddy Croatia are going to shithouse a win Argentina aint making that final",0,"2022-12-11","Android",1
"48","  Never Argentina for the win trophy",0,"2022-12-11","Android",1
"49","The bad day was Argentina playing football First we lost tv signal she was rushing and pressuring my to find i ",0,"2022-12-11","Web App",1
"50","    The dutch team talked shit about Messi and Argentina before ",0,"2022-12-11","Android",1
"51","  During penalty shootout 
You didnt see Argentina players shooting the ball into the N ",0,"2022-12-11","iPhone",1
"52"," Argentina are underdogs against every team they play against sweatsmile",0,"2022-12-11","iPhone",1
"53"," See you in final with Argentina the all time favorite",0,"2022-12-11","iPhone",1
"54","Ohhh but Netherlands are saints and Argentina the villains  ",0,"2022-12-11","iPhone",1
"55"," Russia Uruguay and Argentina are all fucking amazing",0,"2022-12-11","iPhone",1
"56","Finally got my fing pvr replaced cant wait for 

 Argentina amp Croatia

 France amp Morocco ",0,"2022-12-11","Android",1
"57","Only valid wc final possibility is an Argentina V France final anything other than that is worse than Burnley v Brighton",0,"2022-12-11","Android",1
"58","I am going with Moracco vs Argentina in finals
FIFAWorldCup Argentina Morocco",2,"2022-12-11","Android",1
"59"," The history off black in Argentina is one so nasty and brutal just as it was in Kenya during the mau mau resistance",0,"2022-12-11","iPhone",1
"60"," Please wish Argentina all the best for their next game against Croatia",0,"2022-12-11","Android",1
"61","Bruno Fernandes I dont know if theyre going to give the cup to Argentina I dont care Im going to say what I ",1,"2022-12-11","Android",1
"62"," Argentina vs France for the 3rd Place PlayOffs",0,"2022-12-11","Web App",1
"63","As expected France favorites to lift their second consecutive title As predictedCroatia Morocco reached  Semi fi ",0,"2022-12-11","Android",1
"64","rotatinglight Pepe Its inadmissible that an Argentine referee was in charge today after what happened yesterday with Mess ",1,"2022-12-11","Android",1
"65"," A team can only behave how Argentina behaved in a field if they know they are protected and nothing can ",0,"2022-12-11","Android",1
"66","   And Argentina will win it",0,"2022-12-11","Android",1
"67","   I want to watch Croatia verses Morocco in the finals Though I am a big fan of ",0,"2022-12-11","Web App",1
"68","FUCK Noooo Argentina you got this",0,"2022-12-11","iPhone",1
"69"," Pffffhh  Magical my ass  They got lucky  England were by far the better team  Frances luck will not ",0,"2022-12-11","Web App",1
"70"," Hater Your not from Argentina thats why your talking",0,"2022-12-11","iPhone",1
"71","What did Africans ever do to others to inspire such hate
",0,"2022-12-11","Web App",1
"72","No 
Not at all
If have watched FIFA Cup U must realise it All Big Bull oxr out Only legendaries like Argentina ",1,"2022-12-11","Android",1
"73","Morocco knocked out Belgium
Morocco knocked out Portugal
Morocco knocked out SPAIN
They have actually come to the e ",2,"2022-12-11","Android",1
"74"," Argentina and Morocco",0,"2022-12-11","Android",1
"75"," Not about celebrating semifinals the likes of Romania Bulgaria amp S Korea have done it Also about h ",0,"2022-12-11","Web App",1
"76","Sad for Ronaldo but Morocco deserve to win this world cup They really deserve it Argentina vs them will amazing t ",0,"2022-12-11","Web App",1
"77","1111 Argentina wins the WC",1,"2022-12-11","Android",1
"78","Cute song butArgentina is taking the WorldCup home this 2022 ",0,"2022-12-11","Android",1
"79","Mbapp isnt relevant to Argentina right now Focus on Croatia ",1,"2022-12-11","Android",1
"80","Yes Yes And a Morocco vs Argentina final would be the most punk thing ever ",0,"2022-12-11","iPhone",1
"81"," Bro the GOAT will forever be subjective Its an unwinnable debate Im tired man Argentina is probably go ",0,"2022-12-11","Android",1
"82"," Nka lla straight sobjoywhat I know ke gore Im not gonna watch their games never Im not watching Argentina e wina nna joy",0,"2022-12-11","Android",1
"83"," So that GST earning on prize money can fund NMs Jandhan yojnas for votebank grin
BTW Roy cheerleading for Argentina",0,"2022-12-11","Android",1
"84","What is the best game of this WC so far
I say Argentina vs Netherlands",2,"2022-12-11","Android",1
"85"," Head 1 France 2 Croatia 3 Morocco 4 Argentina
Heart 1 Argentina 2 France 3 Croatia 4 Morocco",0,"2022-12-11","Web App",1
"86"," ARGENTINA FROM THE START BABY ",0,"2022-12-11","Web App",1
"87","Fifa World Cup Quarter Finals Result 
Pen Croatia 11 Brazil 
Netherlands 22 Argentina Pen
Morocco 10 Portugal 
E ",0,"2022-12-11","Android",1
"88","Telecom Argentina TEO Downgraded by TheStreet to D ",0,"2022-12-11","Zapier.com",1
"89","Telecom Argentina TEO Downgraded by TheStreet to D ",0,"2022-12-11","Zapier.com",1
"90","Los Molinos Dam Cordoba Argentina 
Estimated Area 439 km  27 cloud coverage as informed by satellite cloud ",0,"2022-12-11","eo.forge.pubs",1
"91","UFC judges are the biggest problem 
They suck more than the Argentina Netherlands referee ",0,"2022-12-11","iPhone",1
"92"," Morocco Croatia Argentina and France too have dreams I dont understand why other pipos dreams are more ",0,"2022-12-11","Android",1
"93","Croatia v Argentina  fancy the winner to go on and win it",0,"2022-12-11","Web App",1
"94","What if Morocco and Croatia are to be in final 

I dont mindjust Ill lose the office footy tipping money I did for Argentina",0,"2022-12-11","iPhone",1
"95","  Netherland vs Argentina",1,"2022-12-11","Android",1
"96"," Yea just like a UEFA ref in Netherlands game see what happened Argentina got carded the most and coz o ",0,"2022-12-11","Android",1
"97","I dont even care about Morocco I need Argentina to win the FIFAWorldCup ",2,"2022-12-11","Android",1
"98","  LOLPortugal are not Argentina rivalnever have been never will be After Brazil w ",0,"2022-12-11","Android",1
"99","Lionel messi is 35 and he is still doing it the best player to ever touch the ball Real life magician 
His ability ",1,"2022-12-11","Android",1
"100","  How are you better than argentina then Hating those who knows nothing about the lack of blacks",0,"2022-12-11","iPhone",1
"101","When did Portugal ever become a rival to Argentina Stop chatting shit joyjoyjoyjoyjoy",0,"2022-12-11","Android",1
"102","  Morocco and Argentina are going to win",0,"2022-12-11","iPhone",1
"103","Croatia will beat Argentina ",0,"2022-12-11","Web App",1
"104"," Bout We deserve an Argentina and Portugal final 

joyjoyjoyjoyjoyjoyjoyjoyjoyjoyjoyjoyjoy

",0,"2022-12-11","iPhone",1
"105"," Im just happy theyre doing this well I want Argentina to win but if Morocco reaches the final Im switching skullskullsob",1,"2022-12-11","iPhone",1
"106"," Just beat France and make it easier for Argentina",0,"2022-12-11","iPhone",1
"107","  Next portugal refereeing argentina",0,"2022-12-11","Android",1
"108","Croatia to beat Argentina Morocco to beat France 
Morocco to win the Worldtrophy",0,"2022-12-11","Web App",1
"109"," Wash post next year  why dont Argentina have more gay players in the World Cup  hey wash post  it ",0,"2022-12-11","iPhone",1
"110"," Seems you didnt watch the game the Dutch guys were rude AF towards the end of the game their subs ",0,"2022-12-11","Web App",1
"111","Guess who is he brazilvsargentinasoccerfootballgames argentina worldcup2022 fifaworldcup2022 ",0,"2022-12-11","Instagram",1
"112","Argentina  Will forever be a team with no class ",0,"2022-12-11","iPhone",1
