"","text","favoriteCount","created","statusSource","period"
"1"," Didnt even read your last sentence in the original tweet lol

Still tho brazil hasnt been performing ",0,"2022-12-10","Android",1
"2"," Didnt even read your last sentence in the original tweet lol

Still tho brazil hasnt been performing ",0,"2022-12-10","Android",1
"3","   Other teams lose to these poor sides for us to meet them in later stages not his ",0,"2022-12-10","iPhone",1
"4"," U just hate to see Messi winning it tho U started pushing for Brazil then Portugal now elef France keep on pushing",0,"2022-12-10","iPhone",1
"5","  Well it won us 2 and it won Brazil 5
No other national team has won more World Cups than Br ",0,"2022-12-10","Android",1
"6","   Who you want then Its international tournament football Brazil had the best ",0,"2022-12-10","iPhone",1
"7"," No Here in Brazil we know that all referees are bad as him",0,"2022-12-10","Android",1
"8"," Youre right here lovely lady Rock On
Greetings from Ro de Janeiro Brazil",0,"2022-12-10","Android",1
"9","   If they win against Morocco anyway they will potentially face Argentina 

How you ex ",0,"2022-12-10","Android",1
"10","Oh all these excuses on  are bloody delicious  joyjoyjoyjoy   If it was a different ref we would have won ",0,"2022-12-10","iPhone",1
"11"," LIKE IM STILL HEATED RUINED MY BRAZIL V ARGENTINA MATCH WHICH WOULDVE BEEN HISTORY LITERALLY inste ",0,"2022-12-10","iPhone",1
"12","Brazil  out 
Portugal  out  
England  out 

Wth wc this timeexpressionlessTotally disappointed",0,"2022-12-10","iPhone",1
"13"," Put a specific profile to subtitle for Brazil",0,"2022-12-10","Android",1
"14"," England teams lost to West Germany twice Argentina twice Germany  Brazil Portugal Italy Croatia ",0,"2022-12-10","Web App",1
"15"," SAME TBH WHEN I SAW THAT WE BEAT BRAZIL  I LITERALLY THREW MY COMPUTER",0,"2022-12-10","Web App",1
"16","Brazil really fucked up and denied us from amazing semi final games imagine the Brazil Argentina match followed by ",0,"2022-12-10","iPhone",1
"17","   Honestly I believe you
I wanted Brazil vs Argentina in the semis mo ",0,"2022-12-10","Web App",1
"18","Brazil amp England were my picks for the Final Both are out Think Im rooting for Morocco ",1,"2022-12-10","iPhone",1
"19"," Same with Spain in 96 and Argentina in 66 In England 

Meanwhile weve been knocked out by France 22 ",1,"2022-12-10","iPhone",1
"20"," Ill answer your question with a question Does this require a blame game
Or are England just not there ",0,"2022-12-10","Android",1
"21"," He is a meme here in Brazil and the majority of the clubs hate him not me tho",0,"2022-12-10","iPhone",1
"22","   Oh he was bad He reffed Brazil right I dont remember him making any crap decisions",0,"2022-12-10","iPhone",1
"23","     Without neymar you lose in 120 minute Without penalty ",0,"2022-12-10","Android",1
"24","always going to get the usual talk about not being good enough thats how it is just ask Brazil or Spain or even It ",0,"2022-12-10","Android",1
"25"," Brazilians love Bolsonaro FOR the first time  people love  their president in Brazil",0,"2022-12-10","Android",1
"26"," Brazil and Portugal were good picks Their losses were against expectations I take the L on Germany though",1,"2022-12-10","iPhone",1
"27"," There aint many top teams in it  other than Brazil none of em were convincing and look what happened there joy",0,"2022-12-10","iPhone",1
"28","   Lets all laugh at Braziljoyjoyjoyjoyjoyjoy",0,"2022-12-10","iPhone",1
"29"," Lets not forget Brazil had one of our refs Michael Oliver yesterday triumph",0,"2022-12-10","iPhone",1
"30","   Gosh I get your point But usually it doesnt work like that Here in Brazi ",0,"2022-12-10","Web App",1
"31"," I picked France to win it on my bracket but all of my other picks except Argentina in the semifinal are out ",0,"2022-12-10","iPhone",1
"32"," Is there only a single hairstylistbarber in all of Brazil  Or is it a weird Children of the Corn thing happening on that team",0,"2022-12-10","iPhone",1
"33"," Brazils elimination was worse sob",0,"2022-12-10","Web App",1
"34","Losing bets of the weekend 

Brazil World Cup Winners
Brazil 32 34 or 43 Multiscore Offer

15 x",0,"2022-12-10","Android",1
"35"," when are you going to set up your channel in Brazil we need a TV like you",0,"2022-12-10","Android",1
"36","and thank god brazil is out if i had to see one more neymar edit i was going to have to off myself",1,"2022-12-10","iPhone",1
"37"," Brazil vs Croatia",0,"2022-12-10","iPhone",1
"38"," Y Brazil Kkkkk",0,"2022-12-10","iPhone",1
"39"," You are without a doubt the Skip Bayless to Brazil   just vibes and hate",0,"2022-12-10","iPhone",1
"40"," Probably because Argentina didnt have a slave trade like Brazils Nor is it connected to Africa and Europe",0,"2022-12-10","iPhone",1
"41"," Im not British but I chose the right team to support you all played very well and you deserve my congra ",0,"2022-12-10","Web App",1
"42","japan out brazil out morocco i trust you",2,"2022-12-10","Web App",1
"43","Another coach dont know how to utilize Bruno gumares of brazil",0,"2022-12-10","iPhone",1
"44","can brazil send news from harry pls sweat",0,"2022-12-10","iPhone",1
"45"," Bro its Wilton Pereira you have to respect him
Hes a legend in Brazilpraypray",0,"2022-12-10","Android",1
"46"," Europeans over Brazil",0,"2022-12-10","iPhone",1
"47","He said stuff about Brazil and Argentina teams him being black has nothing to do with the hate people have for him ",1,"2022-12-10","Android",1
"48","  Senhor in Brazil speak portuguese dont spanish",0,"2022-12-10","Android",1
"49"," Strangely Lucs half french and his Mum is French and Dad English lol So Luc in middle Portugal out to ",1,"2022-12-10","Android",1
"50"," Yes along with croatia vs brazil and croatia vs japan and morocca vs spain and morocco vs portugal",0,"2022-12-10","Android",1
"51"," By that logic Scotland should be world beaters  Getting knocked out doesnt mean you automatically ",0,"2022-12-10","Web App",1
"52","Argentina Brazil France wouldve all won against Portugal same with England",0,"2022-12-10","iPhone",1
"53"," I understand you I also felt an emptiness in my heart when Brazil lost",1,"2022-12-10","Web App",1
"54","   Still waiting for your case for 
Brazil
Spain
Portugal",0,"2022-12-10","Android",1
"55"," Good it would be good if we had communes like the ones in Venezuela over all LATAM mainly in Braz ",0,"2022-12-10","Android",1
"56","        ",1,"2022-12-10","iPad",1
"57","Amazing world cup but at the same time it aint it man first brazil then england shits too much",0,"2022-12-10","iPhone",1
