"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@ChrisBTC12 @fannyblg_ @KMbappe @equipedefrance How is offering advice trolling? 🤦‍♂️",FALSE,0,"ChrisBTC12",2022-12-11 09:08:26,FALSE,"1601865542323023872","1601866486678958081","1396953492766576640","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JamesHa84002370",0,FALSE,FALSE,NA,NA
"2","@atchouameni @equipedefrance Bro your goal was mad:clap::clap::clap:",FALSE,0,"atchouameni",2022-12-11 09:06:29,FALSE,"1601710915002376192","1601865997761355776","936350294627291138","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Maeba_KSM",0,FALSE,FALSE,NA,NA
"3","@crossycross @julescout91 @KMbappe @equipedefrance No rage :kissing_heart::kissing_heart::kissing_heart:🥰🥰🇫🇷🇫🇷🇫🇷🇫🇷🫡",FALSE,0,"crossycross",2022-12-11 09:06:04,FALSE,"1601735944721551361","1601865890928250881","166326527","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeFruitierPop",0,FALSE,FALSE,NA,NA
"4","@FIFAcom @Argentina @HNS_CFF @equipedefrance @EnMaroc @FIFAWorldCup While you’re on with this, could you also price… https://t.co/zDkygnLFdb",FALSE,0,"CraigHatton26",2022-12-11 09:05:47,TRUE,"1601858824956256257","1601865819381796864","399922729","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CraigHatton26",0,FALSE,FALSE,NA,NA
"5","@equipedefrance CaptAin Hugo !",FALSE,0,"equipedefrance",2022-12-11 09:05:23,FALSE,"1601653502488371200","1601865719167197186","2155215398","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Toshenko777",0,FALSE,FALSE,NA,NA
"6","@TheSun  
#Deschamps 
@equipedefrance @_OlivierGiroud_ @AntoGriezmann @KMbappe @dembouz @atchouameni #rabiot… https://t.co/9q0fgoFxBo",FALSE,0,"TheSun",2022-12-11 09:05:06,TRUE,NA,"1601865650049351681","34655603","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DucrestMickael",0,FALSE,FALSE,NA,NA
"7","@JamesHa84002370 @fannyblg_ @KMbappe @equipedefrance Why you don’t just follow my advice to rewatch the game instea… https://t.co/1qBOgL91Xl",FALSE,0,"JamesHa84002370",2022-12-11 09:04:41,TRUE,"1601864286862979077","1601865542323023872","1226914793925246982","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChrisBTC12",0,FALSE,FALSE,NA,NA
"8","@henrywinter @England @equipedefrance They need an elite coach. They don’t have one.",FALSE,0,"henrywinter",2022-12-11 09:04:31,FALSE,"1601686079475974144","1601865499901657090","37896651","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Wilko6861",0,FALSE,FALSE,NA,NA
"9","@erikbielderman @AOC1978 @_OlivierGiroud_ @Sports_gouv @FFF @equipedefrance @francediplo @FranceauQatar sluuuurp",FALSE,0,"erikbielderman",2022-12-11 09:03:59,FALSE,"1601803839627313152","1601865368519471104","550811350","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lucrousselle",0,FALSE,FALSE,NA,NA
"10","@KMbappe @equipedefrance I love you ❤️",FALSE,0,"KMbappe",2022-12-11 09:03:17,FALSE,"1601714094540627968","1601865192773648385","1725137533","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sipan_dri3",0,FALSE,FALSE,NA,NA
"11","@equipedefrance These guys want to lose against Morocco??:monkey:@keysha00",FALSE,0,"equipedefrance",2022-12-11 09:02:46,FALSE,"1601736217808498688","1601865061538172929","2155215398","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AkandindaColin",0,FALSE,FALSE,NA,NA
"12","@KMbappe @equipedefrance Congratulations though because I know u will lift the cup again ..",FALSE,0,"KMbappe",2022-12-11 09:02:02,FALSE,"1601714094540627968","1601864875822678019","1725137533","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leeminho8654",0,FALSE,FALSE,NA,NA
"13","@DuncanCastles @AxayRev @FIFAWorldCup @England @equipedefrance What about Stones, CRB, who was supposed to cover the near post here?",FALSE,0,"DuncanCastles",2022-12-11 09:01:58,FALSE,"1601693234425909249","1601864858626048000","61717225","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","3_muttley_3",0,FALSE,FALSE,NA,NA
"14","@JoshyLuds @LFC @IbrahimaKonate_ @equipedefrance :joy::joy::joy::joy:how I long for those days again",FALSE,0,"JoshyLuds",2022-12-11 09:01:50,FALSE,"1601844528574496771","1601864826963349505","482915027","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marcabbo",0,FALSE,FALSE,NA,NA
"15","@Anne_Hidalgo @equipedefrance Installe une fan zone cousine",FALSE,0,"Anne_Hidalgo",2022-12-11 09:01:26,FALSE,"1601684280295710722","1601864727071973377","26073581","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YaddaTV",0,FALSE,FALSE,NA,NA
"16","Capt 🧤🧤🧤 https://t.co/JKQyF7ftAQ",FALSE,0,NA,2022-12-11 09:01:12,FALSE,NA,"1601864666187456517",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GAMORAYOURKARMA",0,FALSE,FALSE,NA,NA
"17","@DuncanCastles @FIFAWorldCup @England @equipedefrance Terrible reporting",FALSE,0,"DuncanCastles",2022-12-11 09:01:09,FALSE,"1601685463022342145","1601864653994610688","61717225","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mileskmitchell",0,FALSE,FALSE,NA,NA
"18","@KMbappe @equipedefrance Learn how to respect Messi okay",FALSE,0,"KMbappe",2022-12-11 09:01:05,FALSE,"1601714094540627968","1601864636302872578","1725137533","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leeminho8654",0,FALSE,FALSE,NA,NA
"19","@coolerthantv @OmarSy @KMbappe @equipedefrance Mbappe is the best in history. The discussion is over. Please talk about a second topic",FALSE,0,"coolerthantv",2022-12-11 09:01:00,FALSE,"1601845545579970562","1601864617067970560","21195398","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","a40684112",0,FALSE,FALSE,NA,NA
"20","@atchouameni @equipedefrance You are him",FALSE,0,"atchouameni",2022-12-11 09:00:20,FALSE,"1601710915002376192","1601864450621030400","936350294627291138","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sanyahife",0,FALSE,FALSE,NA,NA
"21","@SydneyIfergan @ArivaCoin @EnMaroc @equipedefrance rebrand? tgnJ",FALSE,1,"shusmanulhaq",2022-12-11 09:00:06,FALSE,"1601864387668713472","1601864390562775040","78087747","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","shusmanulhaq",0,FALSE,FALSE,NA,NA
